id,first_name,last_name,location,cat,dog,other,order,company_order,frequency
1,Ellissa,Snoddy,Czech Republic,false,false,true,"€990,68",Colgate-Palmolive Company,year
2,Noak,De Ambrosi,Poland,,,,,,quarter
3,Marlo,Derham,Poland,true,true,true,"€32,01",TOP CARE (Topco Associates LLC),week
4,Carroll,Clarke-Williams,Czech Republic,false,true,true,"€243,15",Teva Pharmaceuticals USA Inc,week
5,Joy,Camden,Poland,false,true,true,"€149,16",Eli Lilly and Company,week
6,Kippy,Targett,,false,true,true,"€179,04",BluePoint Laboratories,year
7,Svend,List,,false,true,false,"€643,93",Ranbaxy Pharmaceuticals Inc.,year
8,Gaultiero,Southcombe,,true,false,true,"€324,88",Walgreen Co.,year
9,Jonah,MacAscaidh,,true,false,false,"€790,12","Physicians Total Care, Inc.",month
10,Isahella,Bingall,Czech Republic,false,true,false,"€295,29",Dolgencorp Inc,month
11,Alene,Paoletti,Poland,true,true,false,"€229,64",Lake Erie Medical DBA Quality Care Products LLC,week
12,Jethro,Burnage,Germany,false,true,true,"€54,91",AvPAK,year
13,Claudelle,Marciskewski,,false,true,false,"€204,26",Exelan Pharmaceuticals Inc.,week
14,Raynell,Smale,,true,false,true,"€119,88",Apotheca Company,quarter
15,Camel,Muehler,Poland,true,false,true,"€294,29",Rimmel Inc.,
16,Gradeigh,Jarvis,,,,,,,month
17,Jobye,Ingledow,Czech Republic,false,true,false,"€750,24","Roxane Laboratories, Inc",week
18,Ed,Garshore,,true,true,true,"€232,73","Nelco Laboratories, Inc.",week
19,Delia,Latehouse,,false,true,false,"€98,76","VALUE MERCHANDISERS COMPANY, INC.",month
20,Karlis,Kosiada,Poland,false,true,false,"€581,30",REMEDYREPACK INC.,year
21,Artur,Calyton,,false,false,true,"€763,21",NARS COSMETICS,year
22,Elizabet,Barajas,,false,false,true,"€391,90","Dispensing Solutions, Inc.",week
23,Lenna,Lathy,Poland,false,true,false,"€11,90","Ventura Corporation (San Juan, P.R)",quarter
24,Lucia,Rottger,Poland,false,false,true,"€206,98",Remedy Makers,month
25,Silas,Haglinton,Poland,true,false,true,"€688,78","Nelco Laboratories, Inc.",month
26,Bernadine,Sydenham,Czech Republic,false,true,true,"€412,68",Kosan Kozmetik Sanayi ve Ticaret A.S.,quarter
27,Meggy,Grunson,,false,false,false,"€297,00",REMEDYREPACK INC.,quarter
28,Cobby,Strongman,Poland,false,false,false,"€502,42",Mylan Pharmaceuticals Inc.,year
29,Donia,Stanyon,Poland,,,,,,quarter
30,Oliver,Curless,Poland,false,false,false,"€506,61","Deseret Biologicals, Inc.",year
31,Sayre,Jacquet,Poland,false,true,false,"€748,00",Lake Erie Medical DBA Quality Care Products LLC,month
32,Wilburt,Mehew,Poland,false,true,false,"€610,17",McKesson Contract Packaging,year
33,Irvine,Riche,,true,false,false,"€886,72",Amerisource Bergen,year
34,Arnoldo,Ingarfield,Poland,false,true,true,"€882,91",Northwind Pharmaceuticals,year
35,Josi,Yard,Czech Republic,true,true,false,"€312,29",NATURALRX LLC,week
36,Clywd,Crawshaw,Poland,false,true,true,"€269,12",Proficient Rx LP,week
37,Ellwood,Straniero,Germany,false,true,true,"€103,62",S+,year
38,Gilberte,Lesslie,Czech Republic,true,true,true,"€957,78","Deseret Biologicals, Inc.",quarter
39,Lester,Sparham,Poland,,,,,,week
40,Cortney,Averill,Poland,false,false,false,"€263,30",Greenstone LLC,week
41,Lacey,Waggatt,Poland,true,false,true,"€132,22",REMEDYREPACK INC.,year
42,Retha,Hartington,,,,,,,month
43,Linn,Pittaway,Poland,true,true,false,"€635,92","Native Remedies, LLC",month
44,Quintus,Reynish,,false,false,false,"€834,87","YIWU HAODING MEDICAL CO.,LTD",month
45,Clim,Philpotts,Czech Republic,false,false,false,"€475,64","Amneal Pharmaceuticals, LLC",week
46,Yelena,Attiwill,,true,true,true,"€4,15",Cardinal Health,quarter
47,Gardiner,Blemen,,true,false,false,"€573,53",Peachtree Medical,week
48,Evangeline,Danielis,Czech Republic,false,true,false,"€520,57","Taro Pharmaceuticals U.S.A., Inc.",week
49,Boote,Becarra,Poland,true,false,true,"€16,10",Aidarex Pharmaceuticals LLC,month
50,Stevie,Earey,Poland,false,false,false,"€68,75","SJ Creations, Inc.",year
51,Britt,Aitken,,false,false,true,"€853,74","Nelco Laboratories, Inc.",week
52,Geoffrey,Sorro,Poland,true,false,false,"€248,42",REMEDYREPACK INC.,year
53,Aileen,Doolan,Poland,false,false,true,"€117,26","PD-Rx Pharmaceuticals, Inc.",quarter
54,Ophelia,Elner,Czech Republic,true,true,true,"€154,78","Liberty Pharmaceuticals, Inc.",week
55,Nicolas,Trevillion,,false,true,true,"€522,78",U.S. Pharmaceuticals,quarter
56,Rosemarie,Halls,Czech Republic,true,true,false,"€393,77","Newton Laboratories, Inc.",month
57,Millisent,Mervyn,,true,false,false,"€879,95",Eli Lilly and Company,quarter
58,Marney,Boutwell,Poland,true,true,true,"€559,87",Greenstone LLC,quarter
59,Madella,Sargant,,true,true,true,"€572,08","Carver Korea Co.,Ltd",quarter
60,Granny,Cristofari,Poland,true,true,false,"€750,21",Uriel Pharmacy Inc.,month
61,Matteo,Boatright,,false,false,false,"€299,54",Sanum Kehlbeck GmbH & Co. KG,year
62,Shelby,Guerrazzi,Poland,true,false,false,"€451,59",Chain Drug Marketing Association,month
63,Delcina,Wakerley,Poland,false,true,true,"€201,08",REMEDYREPACK INC.,week
64,Gizela,Radmer,Poland,true,false,false,"€6,26",Lake Erie Medical DBA Quality Care Products LLC,quarter
65,Trudy,Dixey,Poland,true,true,false,"€724,88",Cobalt Laboratories,week
66,Ada,Salvage,,true,true,true,"€478,32","Liddell Laboratories, Inc.",month
67,Jaquelyn,Danbye,Czech Republic,false,false,false,"€952,71",Heritage Pharmaceuticals Inc.,month
68,Yurik,Massingham,Poland,false,false,false,"€197,72",AvPAK,quarter
69,Pauly,Diviny,Poland,true,false,false,"€130,33",Guerlain S.A.,week
70,Lucille,Moreing,Poland,true,false,false,"€473,03","TAYLOR JAMES, LTD.",year
71,Tanney,McVitty,Poland,,,,,,quarter
72,Karen,Skegg,Czech Republic,true,false,true,"€988,72",HOMEOLAB USA INC,
73,Karlie,Shoppee,Czech Republic,true,true,true,"€675,59",FAMILY DOLLAR,quarter
74,Ilene,Monkeman,Poland,false,true,true,"€537,68",Ventura Corporation LTD,month
75,Laetitia,Inman,,false,false,true,"€974,60","Newton Laboratories, Inc.",month
76,Berty,Boow,Poland,true,false,true,"€158,76",Publix Super Markets Inc,month
77,Tabby,Devall,,,,,,,year
78,Staford,Klambt,,false,false,true,"€926,09","Nelco Laboratories, Inc.",week
